record_id,region,location_name,latitude,longitude,month,year,habitat_class,flooded_area_km2,water_depth_cm,inundation_duration_days,vegetation_type,canopy_cover_percent,floating_vegetation_present,substrate_type,water_flow_rate,nutrient_level,suitable_for_aquatic_plants,suitable_for_flood_forest_trees,suitable_for_macrophytes,suitable_for_rice_cultivation,habitat_productivity_index
51,Amazon_Mainstem_East,Site_0051,-2.5194,-55.2925,May,1992,Macrophyte,69301,169,29,Floating_Macrophytes,51,Yes,Organic_Matter,Stagnant,Moderate,Yes,No,Yes,Yes,85
52,Amazon_Central,Site_0052,-7.3544,-67.6009,Jan,1987,Macrophyte,52676,128,21,Floating_Macrophytes,59,Yes,Organic_Matter,Stagnant,High,Yes,Marginal,Yes,Yes,100
53,Amazon_Central,Site_0053,-7.1473,-55.1498,Oct,1980,Open_Water,24272,246,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,70
54,Amazon_Mainstem_West,Site_0054,-5.9219,-69.9218,Jan,1989,Macrophyte,51534,100,27,Aquatic_Grasses,86,Yes,Mud,Stagnant,Moderate,Yes,Marginal,Yes,Yes,60
55,Amazon_Mainstem,Site_0055,-0.0283,-67.4137,Aug,1996,River_Channel,5401,966,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
56,Amazon_Mainstem,Site_0056,-2.5444,-69.2748,Jun,1994,River_Channel,5789,923,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
57,Amazon_Central,Site_0057,-0.507,-54.3767,Apr,1982,Macrophyte,63103,190,21,Emergent_Vegetation,64,Yes,Mixed,Slow,Moderate,Yes,No,Yes,Yes,80
58,Amazon_Mainstem_East,Site_0058,-6.6885,-58.1308,Dec,1992,Flooded_Forest,72942,362,7,Flooded_Trees,73,Yes,Clay,Stagnant,Very_High,No,Yes,No,No,80
59,Amazon_Mainstem_East,Site_0059,-2.7474,-71.1221,Dec,1995,Flooded_Forest,92318,493,13,Flooded_Shrubs,79,Yes,Mud,Slow,Very_High,No,Yes,No,No,85
60,Amazon_Mainstem,Site_0060,-7.8595,-66.3928,Apr,1992,River_Channel,5905,522,30,None,0,No,Clay,Fast,Moderate,Yes,No,No,No,25
61,Amazon_Mainstem_East,Site_0061,-2.9571,-60.4069,Feb,1993,River_Channel,4554,728,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
62,Amazon_Central,Site_0062,-1.3025,-64.6094,Apr,1988,Macrophyte,63631,52,20,Emergent_Vegetation,80,Yes,Mud,Stagnant,High,Yes,Marginal,Yes,Yes,80
63,Amazon_Mainstem_West,Site_0063,-6.3046,-65.1703,Jul,1980,Open_Water,27220,800,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
64,Amazon_Mainstem_West,Site_0064,-4.8656,-54.0385,Jul,1986,River_Channel,4699,725,30,None,0,No,Organic_Matter,Fast,Moderate,Yes,No,No,No,35
65,Amazon_Mainstem_East,Site_0065,-1.225,-62.0825,Dec,1994,Open_Water,26997,330,30,None,0,No,Organic_Matter,Moderate,Low,Yes,No,No,No,65
66,Amazon_Mainstem_West,Site_0066,-3.4668,-71.1277,Sep,1994,Open_Water,26224,765,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,40
67,Amazon_Mainstem,Site_0067,-2.5527,-54.8762,Jun,1994,River_Channel,4030,810,30,None,0,No,Mixed,Fast,Moderate,Yes,No,No,No,25
68,Amazon_Mainstem_East,Site_0068,-2.1989,-59.5428,Jun,1989,River_Channel,4039,590,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
69,Amazon_Mainstem,Site_0069,-3.6053,-65.2141,May,1994,Macrophyte,54765,215,21,Emergent_Vegetation,70,Yes,Mixed,Slow,High,Yes,No,Yes,No,100
70,Amazon_Mainstem_East,Site_0070,-4.5565,-64.8558,Mar,1984,Flooded_Forest,119478,450,27,Flooded_Shrubs,67,Yes,Clay,Slow,Very_High,No,Yes,Marginal,No,85
71,Amazon_Mainstem_East,Site_0071,-0.0016,-68.4686,Apr,1989,Flooded_Forest,136673,322,26,Flooded_Shrubs,68,No,Mud,Slow,High,No,Yes,Marginal,No,85
72,Amazon_Mainstem,Site_0072,-4.5636,-63.9559,Aug,1979,Macrophyte,30809,182,10,Aquatic_Grasses,55,Yes,Sand,Stagnant,Moderate,No,No,Yes,Yes,75
73,Amazon_Mainstem_East,Site_0073,-7.1894,-69.1476,Aug,1990,Flooded_Forest,88976,533,3,Flooded_Shrubs,92,No,Mud,Stagnant,Very_High,No,Yes,No,No,65
74,Amazon_Mainstem,Site_0074,-4.0727,-54.6079,Apr,1985,Open_Water,47544,352,30,None,0,No,Mud,Moderate,Low,Yes,No,No,No,55
75,Amazon_Mainstem_East,Site_0075,-2.6569,-71.911,Apr,1984,Open_Water,37570,425,30,None,0,No,Mud,Slow,Moderate,Yes,No,No,No,55
76,Amazon_Mainstem_West,Site_0076,-2.7294,-68.8967,Sep,1987,Open_Water,34961,270,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,70
77,Amazon_Mainstem,Site_0077,-6.6615,-61.2507,Nov,1984,Open_Water,31725,716,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,40
78,Amazon_Mainstem_East,Site_0078,-1.6864,-65.1527,May,1990,Flooded_Forest,162095,563,29,Flooded_Trees,64,Yes,Mixed,Slow,Very_High,No,Yes,Marginal,No,70
79,Amazon_Central,Site_0079,-5.4191,-64.8973,May,1996,Open_Water,44397,361,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
80,Amazon_Central,Site_0080,-5.8865,-58.4935,Mar,1994,Flooded_Forest,110057,519,27,Flooded_Trees,85,No,Clay,Slow,High,No,Yes,No,No,70
81,Amazon_Mainstem_West,Site_0081,-0.29,-54.2157,Mar,1988,River_Channel,4105,406,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,55
82,Amazon_Central,Site_0082,-6.7538,-59.6153,Jun,1995,Macrophyte,49070,96,25,Aquatic_Grasses,67,Yes,Mixed,Slow,Moderate,Yes,Marginal,Yes,Yes,65
83,Amazon_Mainstem_East,Site_0083,-3.7525,-54.4602,Jan,1980,Open_Water,50931,356,30,None,0,No,Mixed,Slow,Moderate,Yes,No,No,No,55
84,Amazon_Mainstem,Site_0084,-5.3492,-56.0519,Dec,1994,River_Channel,4993,631,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
85,Amazon_Mainstem_East,Site_0085,-3.8127,-68.7652,Jan,1992,River_Channel,5484,1370,30,None,0,No,Clay,Fast,Moderate,Yes,No,No,No,25
86,Amazon_Mainstem_West,Site_0086,-3.8014,-67.252,Aug,1981,Flooded_Forest,87081,161,9,Flooded_Shrubs,74,Yes,Sand,Stagnant,Very_High,No,Yes,No,No,95
87,Amazon_Mainstem,Site_0087,-1.2879,-64.9703,May,1982,Flooded_Forest,84697,161,28,Flooded_Trees,65,Yes,Mud,Slow,Very_High,No,Yes,Marginal,No,100
88,Amazon_Mainstem,Site_0088,-4.7908,-70.447,Jan,1994,Flooded_Forest,70527,539,25,Flooded_Trees,80,Yes,Organic_Matter,Stagnant,Very_High,No,Yes,No,No,75
89,Amazon_Mainstem_East,Site_0089,-5.8711,-67.4056,Mar,1996,Flooded_Forest,134033,101,28,Flooded_Shrubs,89,Yes,Sand,Slow,Very_High,No,Yes,No,No,100
90,Amazon_Mainstem,Site_0090,-3.8874,-55.7447,Jul,1979,River_Channel,4231,677,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
91,Amazon_Mainstem_West,Site_0091,-4.4723,-56.8623,Jul,1990,Flooded_Forest,61639,336,5,Flooded_Trees,90,Yes,Sand,Stagnant,Very_High,No,Yes,No,No,80
92,Amazon_Mainstem,Site_0092,-1.8377,-56.7971,Jun,1993,Open_Water,44088,282,30,None,0,No,Organic_Matter,Slow,Moderate,Yes,No,No,No,80
93,Amazon_Mainstem_West,Site_0093,-0.9296,-55.0001,Sep,1995,Flooded_Forest,87665,258,1,Flooded_Trees,63,Yes,Clay,Stagnant,High,No,Yes,Marginal,No,95
94,Amazon_Central,Site_0094,-4.8591,-66.2484,Mar,1984,River_Channel,5528,485,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,65
95,Amazon_Mainstem_East,Site_0095,-2.3997,-63.9555,Apr,1994,Macrophyte,47756,159,20,Floating_Macrophytes,71,Yes,Sand,Stagnant,Moderate,Yes,No,Yes,Yes,75
96,Amazon_Central,Site_0096,-1.8818,-67.6396,Nov,1986,Open_Water,37490,455,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
97,Amazon_Mainstem,Site_0097,-6.9929,-59.2629,Oct,1985,River_Channel,5141,606,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,40
98,Amazon_Central,Site_0098,-6.6518,-71.6342,Apr,1984,River_Channel,5952,697,30,None,0,No,Mixed,Fast,Moderate,Yes,No,No,No,25
99,Amazon_Mainstem,Site_0099,-0.4922,-68.9592,Mar,1996,Macrophyte,46681,215,29,Floating_Macrophytes,84,Yes,Mixed,Stagnant,High,Yes,No,Yes,No,95
100,Amazon_Mainstem_West,Site_0100,-6.5391,-57.3815,Mar,1992,River_Channel,5703,1206,30,None,0,No,Mixed,Fast,Low,Yes,No,No,No,25
101,Amazon_Mainstem,Site_0101,-5.2824,-64.4955,Jan,1995,Open_Water,39808,644,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
102,Amazon_Mainstem,Site_0102,-4.6656,-55.5021,Oct,1988,Macrophyte,46471,236,10,Emergent_Vegetation,75,Yes,Mixed,Slow,Moderate,No,No,Yes,No,80
103,Amazon_Mainstem_West,Site_0103,-0.6288,-54.9148,Nov,1989,Open_Water,30981,528,30,None,0,No,Sand,Moderate,Low,Yes,No,No,No,40
104,Amazon_Central,Site_0104,-2.8385,-67.5144,Sep,1986,Flooded_Forest,57085,478,0,Flooded_Shrubs,60,Yes,Sand,Stagnant,High,No,Yes,Marginal,No,80
105,Amazon_Central,Site_0105,-4.3011,-56.2378,Jul,1991,River_Channel,4575,761,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
106,Amazon_Mainstem,Site_0106,-0.6006,-59.338,Sep,1979,Open_Water,26767,344,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,55
107,Amazon_Mainstem_West,Site_0107,-7.2558,-69.9713,Apr,1994,Macrophyte,57772,250,26,Floating_Macrophytes,54,Yes,Mixed,Slow,High,Yes,No,Yes,No,100
108,Amazon_Mainstem_East,Site_0108,-5.3031,-69.8397,Jun,1994,Macrophyte,45215,208,20,Aquatic_Grasses,78,Yes,Sand,Slow,Moderate,Yes,No,Yes,No,80
109,Amazon_Mainstem_East,Site_0109,-5.7662,-62.7388,Jan,1994,Open_Water,51178,608,30,None,0,No,Sand,Moderate,Low,Yes,No,No,No,40
110,Amazon_Mainstem_West,Site_0110,-4.4005,-60.4022,Nov,1987,Flooded_Forest,65174,562,14,Flooded_Trees,86,No,Clay,Stagnant,High,No,Yes,No,No,65
111,Amazon_Mainstem_East,Site_0111,-3.4831,-59.3837,Oct,1990,Flooded_Forest,44251,203,11,Flooded_Trees,78,No,Mixed,Stagnant,High,No,Yes,No,No,95
112,Amazon_Mainstem,Site_0112,-4.2982,-57.9184,Jan,1995,Flooded_Forest,90709,141,25,Flooded_Trees,66,Yes,Clay,Slow,High,No,Yes,Marginal,No,100
113,Amazon_Mainstem_West,Site_0113,-3.6548,-54.8317,May,1984,Flooded_Forest,165226,150,29,Flooded_Trees,63,No,Sand,Slow,Very_High,No,Yes,Marginal,No,100
114,Amazon_Mainstem_East,Site_0114,-5.2621,-65.1263,Aug,1990,River_Channel,4501,975,30,None,0,No,Mud,Fast,Moderate,Yes,No,No,No,25
115,Amazon_Mainstem_West,Site_0115,-1.3399,-55.1476,Apr,1981,River_Channel,5195,1395,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
116,Amazon_Central,Site_0116,-4.1918,-60.6812,Sep,1981,Open_Water,33207,255,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,80
117,Amazon_Central,Site_0117,-2.819,-66.1123,Apr,1983,Macrophyte,63469,223,30,Emergent_Vegetation,54,Yes,Mud,Slow,Moderate,Yes,No,Yes,No,80
118,Amazon_Mainstem_West,Site_0118,-7.9937,-69.1564,Dec,1990,Open_Water,34799,619,30,None,0,No,Clay,Slow,Low,Yes,No,No,No,40
119,Amazon_Mainstem,Site_0119,-5.733,-57.8637,Mar,1983,Flooded_Forest,137343,477,25,Flooded_Shrubs,67,Yes,Mud,Slow,Very_High,No,Yes,Marginal,No,85
120,Amazon_Mainstem,Site_0120,-2.6789,-63.8216,Aug,1982,River_Channel,4719,475,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,55
121,Amazon_Mainstem,Site_0121,-5.7357,-66.1805,Dec,1981,Open_Water,24385,591,30,None,0,No,Mixed,Moderate,Low,Yes,No,No,No,40
122,Amazon_Mainstem,Site_0122,-6.4314,-54.432,Jan,1985,Macrophyte,58121,190,26,Floating_Macrophytes,79,Yes,Clay,Stagnant,High,Yes,No,Yes,Yes,95
123,Amazon_Mainstem_West,Site_0123,-4.8261,-61.1659,May,1983,Flooded_Forest,84266,410,25,Flooded_Trees,72,Yes,Organic_Matter,Slow,High,No,Yes,No,No,95
124,Amazon_Mainstem_West,Site_0124,-7.7661,-54.0844,Jul,1989,Open_Water,30562,702,30,None,0,No,Mud,Slow,Low,Yes,No,No,No,40
125,Amazon_Central,Site_0125,-0.6481,-68.4337,Jul,1986,Macrophyte,35498,178,13,Emergent_Vegetation,65,Yes,Mud,Stagnant,High,No,No,Yes,Yes,95
126,Amazon_Mainstem_East,Site_0126,-1.1249,-54.7382,Sep,1994,Flooded_Forest,73839,436,9,Flooded_Shrubs,76,No,Mud,Stagnant,Very_High,No,Yes,No,No,80
127,Amazon_Mainstem_East,Site_0127,-2.3955,-66.086,Jan,1995,Macrophyte,45368,86,26,Aquatic_Grasses,87,Yes,Mud,Slow,High,Yes,Marginal,Yes,Yes,85
128,Amazon_Mainstem,Site_0128,-0.3749,-71.2557,Jul,1995,Macrophyte,40887,192,6,Aquatic_Grasses,40,Yes,Sand,Stagnant,High,No,No,Yes,Yes,95
129,Amazon_Central,Site_0129,-3.6064,-57.4617,Dec,1990,Macrophyte,50487,205,16,Aquatic_Grasses,51,Yes,Mud,Slow,High,Yes,No,Yes,No,100
130,Amazon_Mainstem,Site_0130,-5.9878,-59.636,Jan,1995,Open_Water,47430,292,30,None,0,No,Sand,Slow,Moderate,Yes,No,No,No,70
131,Amazon_Central,Site_0131,-0.799,-55.6959,May,1983,River_Channel,4959,1438,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
132,Amazon_Central,Site_0132,-4.7456,-69.458,Nov,1993,Open_Water,24324,396,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,55
133,Amazon_Central,Site_0133,-6.7731,-71.7733,Sep,1995,Flooded_Forest,74767,300,6,Flooded_Trees,90,Yes,Mud,Slow,High,No,Yes,No,No,85
134,Amazon_Mainstem_West,Site_0134,-2.0222,-66.3122,Feb,1979,Flooded_Forest,168961,408,29,Flooded_Shrubs,86,Yes,Sand,Stagnant,High,No,Yes,No,No,80
135,Amazon_Mainstem_East,Site_0135,-1.3406,-59.2301,Feb,1986,Open_Water,35607,576,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
136,Amazon_Mainstem,Site_0136,-2.1323,-71.2251,Dec,1991,Flooded_Forest,30373,166,0,Flooded_Shrubs,71,Yes,Sand,Stagnant,High,No,Yes,No,No,95
137,Amazon_Central,Site_0137,-4.1223,-68.533,Jun,1993,River_Channel,5574,761,30,None,0,No,Mud,Fast,Moderate,Yes,No,No,No,25
138,Amazon_Mainstem_West,Site_0138,-7.0332,-54.593,Dec,1994,Open_Water,35937,381,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,55
139,Amazon_Mainstem_East,Site_0139,-4.6557,-70.4685,Oct,1990,Macrophyte,57583,126,17,Floating_Macrophytes,54,Yes,Sand,Slow,High,Yes,Marginal,Yes,Yes,100
140,Amazon_Mainstem_West,Site_0140,-1.1759,-58.373,Dec,1981,Macrophyte,34487,65,12,Floating_Macrophytes,89,Yes,Mixed,Slow,Moderate,No,Marginal,Yes,Yes,65
141,Amazon_Mainstem_East,Site_0141,-0.7003,-64.429,Mar,1988,River_Channel,5642,1278,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
142,Amazon_Mainstem_West,Site_0142,-4.6745,-56.8422,Jan,1987,River_Channel,4797,539,30,None,0,No,Organic_Matter,Moderate,Low,Yes,No,No,No,50
143,Amazon_Central,Site_0143,-7.4731,-68.9027,Apr,1994,River_Channel,4658,1263,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,25
144,Amazon_Mainstem,Site_0144,-5.0573,-67.6236,Sep,1992,Open_Water,29308,676,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,40
145,Amazon_Mainstem,Site_0145,-6.0385,-70.2526,Mar,1989,Macrophyte,47846,125,20,Floating_Macrophytes,81,Yes,Mixed,Slow,High,Yes,Marginal,Yes,Yes,100
146,Amazon_Mainstem_West,Site_0146,-1.6071,-60.2315,Feb,1988,Macrophyte,64860,205,27,Floating_Macrophytes,57,Yes,Clay,Stagnant,Moderate,Yes,No,Yes,No,75
147,Amazon_Mainstem_West,Site_0147,-7.5414,-68.4408,Oct,1995,Flooded_Forest,79262,106,2,Flooded_Trees,95,Yes,Mixed,Slow,Very_High,No,Yes,No,No,100
148,Amazon_Mainstem_East,Site_0148,-1.5569,-54.7406,Jun,1992,Macrophyte,53004,59,30,Emergent_Vegetation,84,Yes,Organic_Matter,Stagnant,High,Yes,Marginal,Yes,Yes,90
149,Amazon_Central,Site_0149,-4.2329,-68.4765,Aug,1984,Open_Water,37219,617,30,None,0,No,Mud,Slow,Low,Yes,No,No,No,40
150,Amazon_Mainstem_East,Site_0150,-1.5992,-61.2625,Jan,1995,Open_Water,52685,628,30,None,0,No,Sand,Moderate,Moderate,Yes,No,No,No,40
151,Amazon_Mainstem,Site_0151,-4.981,-66.8655,Feb,1982,Macrophyte,46420,122,25,Emergent_Vegetation,52,Yes,Organic_Matter,Stagnant,High,Yes,Marginal,Yes,Yes,100
152,Amazon_Central,Site_0152,-0.5427,-56.7176,Jan,1980,Macrophyte,71265,149,25,Aquatic_Grasses,60,Yes,Sand,Slow,High,Yes,Marginal,Yes,Yes,100
