record_id,plant_type,soil_ph,soil_nitrogen_ppm,soil_phosphorus_ppm,soil_potassium_ppm,soil_moisture_percent,soil_organic_carbon_percent,soil_temperature_celsius,air_temperature_celsius,topsoil_depth_cm,slope_degrees,elevation_meters,erosion_level,sunlight_hours,rainfall_mm,drainage_quality,soil_texture,compaction_level,previous_crop,days_since_last_crop,fertilizer_applied,will_thrive,growth_rate_percent,yield_quality
13,Carrot,4.29,112,69,92,91,13.85,24.4,8.8,14,41,1621,Severe,9.8,293,Very_Poor,Clay_Loam,Moderate,Vegetable,350,Yes,No,28,Poor
14,Rice,6.47,20,83,30,55,11.85,-0.2,-5.1,46,32,2305,None,6.0,53,Good,Clay_Loam,Low,Vegetable,288,No,No,44,Fair
15,Pine_Tree,7.52,82,99,16,16,10.07,20.3,20.6,31,16,467,Low,15.9,248,Good,Sandy,High,Soybean,202,Yes,No,51,Fair
16,Oak_Tree,4.68,89,53,41,43,2.66,34.9,15.9,89,12,2487,Low,4.2,131,Good,Sandy_Loam,High,Wheat,20,No,Yes,99,Excellent
17,Pumpkin,8.94,147,93,72,38,11.66,11.5,39.0,53,27,2175,Moderate,7.6,222,Poor,Sandy,Moderate,Fallow,6,Yes,No,44,Fair
18,Strawberry,7.6,52,13,93,66,14.33,14.9,19.8,58,36,2103,Severe,15.7,68,Poor,Clay,Low,Vegetable,33,Yes,Yes,71,Good
19,Oak_Tree,6.02,82,62,31,33,6.11,2.5,-2.5,111,42,2503,Low,15.2,147,Good,Sandy,None,Corn,208,No,No,57,Fair
20,Potato,8.98,13,64,38,76,14.01,31.6,22.0,32,18,327,Severe,9.0,71,Good,Clay,Moderate,Wheat,308,No,No,40,Fair
21,Tomato,7.3,114,28,77,35,0.49,41.6,8.6,127,14,1043,Moderate,4.1,51,Good,Sandy_Loam,Low,Fallow,280,Yes,Yes,79,Good
22,Lettuce,5.62,77,44,97,59,3.05,-0.7,31.1,93,31,399,Low,8.0,164,Good,Clay_Loam,Moderate,Soybean,176,No,Yes,70,Good
23,Pumpkin,6.11,71,25,100,91,0.39,11.4,35.8,78,31,387,Severe,13.6,114,Good,Silty,Low,Soybean,14,Yes,Yes,76,Good
24,Carrot,4.06,99,54,18,26,11.04,26.9,4.9,54,19,1403,Moderate,13.3,55,Very_Poor,Sandy_Loam,Moderate,Soybean,355,Yes,No,18,Very_Poor
25,Carrot,5.56,54,69,73,99,11.83,25.9,18.3,11,11,2155,Low,3.4,123,Good,Clay_Loam,Low,Fallow,192,No,Yes,100,Excellent
26,Tomato,4.48,65,96,19,95,3.93,23.4,11.7,51,16,1238,None,7.9,225,Poor,Clay_Loam,Moderate,Fallow,341,No,No,40,Fair
27,Lettuce,7.27,116,79,90,80,10.53,-3.2,17.6,16,7,1213,High,2.2,71,Very_Poor,Sandy_Loam,Moderate,None,61,No,No,56,Fair
28,Corn,5.82,91,72,19,59,12.41,24.5,-1.8,114,16,1344,None,10.4,31,Very_Poor,Loamy,Moderate,Wheat,305,Yes,Yes,85,Excellent
29,Rice,4.87,125,84,89,38,0.8,16.3,11.4,79,0,1084,Low,9.3,187,Good,Sandy,High,Soybean,102,No,No,19,Very_Poor
30,Cotton,8.5,112,31,37,68,7.33,39.4,43.8,130,13,2960,High,13.4,121,Excellent,Clay_Loam,Low,Corn,190,No,Yes,73,Good
31,Potato,7.99,48,16,111,87,13.03,25.4,23.4,79,24,2671,Moderate,4.0,84,Poor,Silty,None,Vegetable,168,Yes,Yes,68,Good
32,Sunflower,6.17,86,10,25,77,14.33,0.0,21.3,88,20,358,Low,16.5,99,Very_Poor,Sandy,Moderate,Soybean,343,No,Yes,95,Excellent
33,Apple_Tree,7.64,106,12,9,11,12.14,-3.8,31.2,36,11,2321,Moderate,3.5,253,Good,Silty,Low,Wheat,193,No,No,40,Fair
34,Tomato,7.59,149,92,95,41,6.02,13.6,17.7,15,17,2421,Moderate,11.7,260,Very_Poor,Clay_Loam,Moderate,Wheat,3,No,No,30,Poor
35,Sunflower,4.14,4,10,56,56,13.4,18.9,-5.6,144,43,1151,None,3.0,5,Moderate,Loamy,High,Wheat,237,Yes,No,21,Poor
36,Apple_Tree,5.79,24,69,12,73,6.47,1.1,42.5,35,18,150,None,12.8,137,Moderate,Loamy,Moderate,None,138,No,No,45,Fair
37,Apple_Tree,5.1,143,39,33,53,13.77,30.3,9.0,25,23,2148,Moderate,11.8,187,Excellent,Loamy,Low,None,210,No,No,53,Fair
38,Tomato,6.81,144,38,78,1,11.52,43.5,-0.1,109,26,2626,High,4.6,253,Moderate,Clay_Loam,Low,Fallow,42,No,No,45,Fair
39,Lettuce,5.5,20,80,64,100,11.33,18.4,30.5,60,8,2113,Moderate,8.3,257,Excellent,Clay,Low,Soybean,353,Yes,No,49,Fair
40,Oak_Tree,7.99,24,3,18,95,0.49,36.6,8.2,123,41,144,Severe,6.1,185,Excellent,Sandy_Loam,None,Corn,72,Yes,Yes,75,Good
41,Sunflower,7.86,138,81,78,77,0.18,9.6,8.2,62,39,2531,Moderate,12.7,252,Good,Loamy,Low,Wheat,42,Yes,Yes,75,Good
42,Apple_Tree,6.8,35,49,102,75,1.69,1.4,21.7,68,19,2755,Severe,6.4,300,Moderate,Loamy,High,Vegetable,160,Yes,Yes,74,Good
43,Lettuce,7.86,142,99,4,50,2.08,41.2,34.4,25,41,1897,Low,8.2,93,Good,Silty,None,Wheat,26,No,No,34,Poor
44,Potato,5.05,82,75,42,33,14.56,29.9,34.8,60,22,1251,Severe,11.4,106,Excellent,Clay_Loam,High,Wheat,249,No,No,47,Fair
45,Strawberry,7.53,54,6,31,14,1.41,1.6,22.7,38,44,2103,Low,4.3,22,Moderate,Clay,High,Vegetable,6,Yes,No,42,Fair
46,Oak_Tree,5.22,129,17,58,95,10.17,26.7,11.4,69,11,2363,None,6.2,238,Very_Poor,Loamy,None,Soybean,260,Yes,Yes,95,Excellent
47,Tomato,8.17,132,56,33,15,7.86,28.6,30.7,98,41,2723,None,3.3,194,Poor,Clay,Moderate,Wheat,304,No,No,26,Poor
48,Potato,4.57,7,46,110,45,11.77,22.3,40.2,69,29,1765,Severe,6.0,23,Poor,Silty,Moderate,None,32,No,No,26,Poor
49,Apple_Tree,7.07,13,54,49,43,9.8,35.3,22.9,147,34,2802,Low,9.5,78,Excellent,Loamy,High,None,21,No,Yes,65,Good
50,Rice,4.83,52,62,14,9,11.31,39.7,-0.8,11,41,1061,High,11.1,176,Very_Poor,Sandy,Low,Wheat,224,No,No,0,Very_Poor
51,Soybean,4.69,122,46,99,89,5.99,38.2,28.2,103,45,430,None,14.3,203,Good,Sandy_Loam,Moderate,None,153,No,Yes,66,Good
52,Rice,5.97,147,9,28,29,4.63,1.4,26.5,139,4,1501,High,9.7,95,Very_Poor,Sandy_Loam,Moderate,Vegetable,363,No,Yes,62,Good
53,Tomato,7.98,84,38,113,3,3.96,-4.6,-1.6,27,40,2491,Moderate,5.5,111,Good,Clay_Loam,Moderate,None,173,No,No,11,Very_Poor
54,Lettuce,7.88,34,98,46,74,9.73,32.7,25.7,68,13,324,Moderate,8.6,108,Moderate,Sandy,Moderate,Wheat,60,No,No,44,Fair
55,Strawberry,6.74,80,7,85,20,8.53,20.4,35.2,150,44,491,Low,13.3,216,Poor,Silty,Moderate,Fallow,354,No,No,35,Poor
56,Strawberry,8.82,124,58,108,4,9.16,22.4,27.0,124,34,2114,Moderate,13.3,114,Good,Sandy,Moderate,Wheat,156,No,No,39,Poor
57,Pumpkin,4.21,99,96,98,33,8.55,30.7,-1.3,65,29,1210,Low,13.7,214,Poor,Clay,None,Soybean,38,Yes,No,41,Fair
58,Sunflower,7.4,25,1,66,29,11.72,34.4,33.8,56,31,1950,Moderate,9.5,105,Moderate,Loamy,High,None,61,Yes,No,51,Fair
59,Potato,8.49,106,99,17,6,7.85,13.7,7.5,24,22,1294,Moderate,5.2,283,Good,Loamy,Low,Vegetable,223,Yes,No,27,Poor
60,Rice,5.87,11,14,64,71,4.41,19.6,13.0,89,1,2315,None,10.0,134,Moderate,Sandy,None,Soybean,356,No,No,53,Fair
61,Potato,4.76,122,66,106,61,12.94,30.9,29.1,80,31,1096,None,11.8,96,Good,Loamy,Low,None,85,Yes,Yes,91,Excellent
62,Potato,6.21,103,54,81,78,7.45,33.7,6.6,30,23,2138,Low,17.8,171,Excellent,Silty,Moderate,None,215,Yes,Yes,93,Excellent
63,Tomato,8.15,107,44,47,32,3.99,35.2,19.0,128,20,493,Severe,6.7,157,Poor,Loamy,High,Fallow,335,No,No,40,Fair
64,Sunflower,4.74,76,38,28,48,14.82,16.7,22.0,13,29,2629,Severe,9.9,208,Excellent,Silty,None,Vegetable,282,No,Yes,68,Good
65,Apple_Tree,7.32,109,84,35,20,3.01,35.5,43.0,83,9,2508,Moderate,12.7,117,Good,Sandy,None,Corn,120,No,No,52,Fair
66,Pine_Tree,6.05,17,47,58,65,8.28,19.9,27.2,45,42,2575,Severe,8.5,44,Moderate,Sandy,High,Fallow,49,No,No,36,Poor
67,Corn,8.93,55,73,34,91,1.96,9.7,-3.6,121,3,2455,Moderate,2.0,262,Excellent,Silty,None,Wheat,316,Yes,No,46,Fair
68,Rice,7.02,92,24,18,30,3.52,33.4,27.9,117,32,2240,Moderate,7.1,86,Excellent,Sandy_Loam,Low,Wheat,304,Yes,No,59,Fair
69,Wheat,5.67,91,37,26,67,5.54,34.4,13.8,46,7,1407,High,15.9,209,Excellent,Silty,None,Vegetable,85,No,Yes,81,Excellent
70,Rice,5.51,116,69,53,83,3.5,14.0,-4.4,112,3,1106,Low,13.3,130,Very_Poor,Loamy,None,Wheat,195,Yes,Yes,87,Excellent
71,Rice,4.47,1,57,72,0,6.55,-0.2,0.1,74,37,1491,Moderate,16.7,71,Excellent,Sandy,High,None,338,Yes,No,0,Very_Poor
72,Corn,7.36,19,56,96,32,8.91,-1.7,30.2,84,43,2262,Severe,14.4,153,Very_Poor,Loamy,Low,Wheat,61,Yes,No,51,Fair
73,Wheat,7.9,86,72,69,36,13.26,4.9,31.9,38,33,1247,Moderate,4.6,278,Good,Loamy,None,Corn,170,No,Yes,67,Good
74,Strawberry,8.94,83,0,23,49,14.28,23.5,37.4,118,40,1444,Low,13.3,161,Good,Sandy,None,Fallow,175,No,No,47,Fair
75,Potato,5.36,125,46,55,55,13.03,17.1,37.3,89,1,2792,Low,14.8,249,Excellent,Sandy_Loam,High,Fallow,311,Yes,Yes,74,Good
76,Wheat,5.73,19,92,99,9,14.15,-2.4,39.3,149,36,2605,High,8.6,266,Very_Poor,Sandy_Loam,None,Fallow,219,Yes,No,18,Very_Poor
77,Wheat,7.56,78,14,61,34,1.25,13.4,-7.4,27,43,432,Moderate,3.1,100,Very_Poor,Clay_Loam,Moderate,Vegetable,69,Yes,No,36,Poor
78,Pumpkin,8.47,45,25,95,58,14.44,24.0,-9.1,116,28,1127,Severe,2.5,14,Good,Clay,Low,Fallow,31,No,No,33,Poor
79,Rice,6.46,105,45,32,14,11.37,-4.8,7.6,47,45,263,Low,6.5,11,Moderate,Loamy,Low,None,109,No,No,51,Fair
80,Lettuce,8.84,75,70,96,82,8.09,31.8,3.6,102,5,2394,Low,12.2,105,Moderate,Silty,High,Fallow,351,No,No,57,Fair
81,Carrot,6.24,98,12,52,8,8.2,26.3,10.7,101,30,956,Moderate,14.2,227,Poor,Silty,Low,Fallow,336,No,Yes,77,Good
82,Wheat,4.16,57,52,21,77,12.46,42.4,4.7,109,37,99,High,16.8,270,Poor,Sandy_Loam,Low,Corn,199,Yes,No,35,Poor
83,Wheat,7.4,130,57,68,76,3.61,13.7,37.3,70,6,341,Low,3.8,224,Very_Poor,Sandy_Loam,High,Corn,128,Yes,No,58,Fair
84,Tomato,7.04,136,49,55,66,2.86,28.3,5.5,60,35,1676,Severe,7.6,153,Poor,Sandy,Moderate,Corn,65,No,No,39,Poor
85,Strawberry,7.96,3,29,102,3,3.87,15.1,30.0,94,19,2780,High,16.9,3,Good,Silty,Moderate,Corn,349,Yes,No,27,Poor
86,Wheat,4.83,82,20,19,0,9.37,34.3,-1.9,86,22,2323,High,15.9,278,Very_Poor,Clay,None,Corn,213,Yes,No,15,Very_Poor
87,Strawberry,6.56,99,35,12,9,6.78,41.7,23.0,124,4,2361,None,5.8,287,Good,Loamy,None,Corn,76,Yes,Yes,88,Excellent
88,Corn,6.33,4,15,56,46,5.28,14.9,-5.5,138,14,496,Severe,5.4,244,Good,Sandy_Loam,Low,Soybean,217,No,No,57,Fair
89,Oak_Tree,8.64,55,9,67,49,0.36,11.2,-8.9,116,44,1059,Low,7.2,86,Very_Poor,Clay_Loam,Moderate,Fallow,115,Yes,No,37,Poor
90,Strawberry,8.46,64,99,31,32,2.05,31.3,12.5,104,21,643,High,6.7,28,Good,Loamy,Low,Vegetable,7,No,No,55,Fair
91,Carrot,6.07,92,63,116,85,9.84,-4.9,-9.4,48,10,340,High,17.4,8,Moderate,Sandy,Moderate,Soybean,267,Yes,Yes,79,Good
92,Oak_Tree,4.24,101,75,58,12,11.09,5.8,-1.2,126,7,1646,None,6.5,112,Good,Silty,Moderate,Vegetable,60,Yes,No,49,Fair
93,Potato,4.9,94,17,38,51,12.74,30.2,15.8,145,28,1078,Low,17.9,89,Very_Poor,Clay_Loam,High,Vegetable,349,Yes,Yes,80,Excellent
94,Apple_Tree,5.8,22,6,24,49,11.95,22.9,10.2,54,0,2939,None,17.5,269,Poor,Sandy_Loam,None,Soybean,36,Yes,Yes,90,Excellent
95,Carrot,4.57,28,46,8,97,0.54,28.5,-3.6,98,7,2897,Moderate,14.9,95,Moderate,Clay,Moderate,Fallow,253,No,No,27,Poor
96,Strawberry,5.27,121,76,30,0,11.74,43.0,-6.1,72,14,2446,High,12.4,169,Poor,Clay_Loam,High,Vegetable,309,No,No,19,Very_Poor
97,Pine_Tree,8.71,91,72,23,89,14.14,0.5,36.8,50,18,1996,None,8.0,216,Poor,Clay,Low,Fallow,278,Yes,Yes,69,Good
98,Pumpkin,6.31,133,51,66,32,4.79,23.9,29.1,10,4,2915,None,12.7,100,Poor,Loamy,High,Wheat,201,No,Yes,65,Good
99,Rice,4.74,122,16,2,1,8.38,19.0,38.4,22,0,1741,Severe,4.9,120,Good,Silty,Low,None,62,No,No,35,Poor
100,Lettuce,7.67,31,0,46,65,3.2,5.9,9.5,125,15,1555,Low,7.2,260,Poor,Sandy,Low,Vegetable,289,No,Yes,63,Good
101,Strawberry,4.46,146,98,102,95,4.48,13.0,3.7,128,0,2055,Low,4.2,270,Excellent,Sandy,Moderate,Corn,71,Yes,No,58,Fair
102,Pumpkin,5.74,45,21,36,50,10.89,16.2,23.8,140,12,1310,None,14.7,93,Excellent,Sandy_Loam,High,None,125,No,Yes,60,Good
103,Carrot,4.3,138,64,15,1,12.7,8.0,37.9,148,31,2082,High,3.9,107,Good,Silty,None,Wheat,200,Yes,No,28,Poor
104,Cotton,7.06,10,79,114,43,2.09,44.7,28.6,108,5,955,Severe,5.7,150,Excellent,Loamy,High,Soybean,182,No,Yes,68,Good
105,Corn,8.1,39,34,5,56,0.18,26.7,-5.5,145,3,1903,High,10.0,16,Excellent,Sandy,None,None,130,No,No,38,Poor
106,Sunflower,4.57,32,65,21,35,8.3,9.7,10.8,94,23,436,Low,12.0,8,Good,Silty,Low,Corn,363,No,No,37,Poor
107,Soybean,5.9,103,90,85,34,5.49,0.6,33.9,22,6,2854,High,2.4,69,Excellent,Clay,Moderate,Wheat,279,No,No,51,Fair
108,Apple_Tree,8.07,134,36,73,48,9.97,-1.8,-8.4,97,16,2687,Low,17.7,155,Good,Silty,Low,Wheat,111,No,Yes,68,Good
109,Strawberry,5.79,26,75,16,8,7.72,16.9,22.1,19,45,2401,Severe,11.6,187,Very_Poor,Sandy_Loam,Moderate,None,94,Yes,No,25,Poor
110,Cotton,5.46,98,3,34,88,2.67,19.5,36.0,36,27,1673,Low,4.8,139,Moderate,Sandy_Loam,Moderate,Corn,276,No,Yes,100,Excellent
111,Apple_Tree,4.95,62,99,6,71,1.84,6.4,15.1,145,17,1434,Moderate,14.8,223,Excellent,Silty,High,Corn,135,No,Yes,65,Good
112,Soybean,8.24,103,78,79,28,14.63,41.8,42.1,26,3,1039,None,17.0,38,Excellent,Loamy,High,Fallow,60,Yes,No,32,Poor
113,Pine_Tree,4.73,68,25,51,92,12.52,26.0,11.4,106,4,1672,High,12.4,153,Very_Poor,Clay_Loam,Moderate,None,108,Yes,Yes,91,Excellent
114,Cotton,4.06,116,28,81,84,5.27,0.4,18.3,26,0,1555,Moderate,14.5,29,Moderate,Loamy,None,Soybean,260,Yes,Yes,63,Good
115,Potato,8.63,84,83,10,40,13.52,-2.9,-6.3,35,14,997,Low,11.8,59,Moderate,Clay,High,Soybean,86,Yes,No,34,Poor
116,Sunflower,4.77,90,96,53,47,6.96,28.8,34.6,87,42,717,Moderate,5.9,290,Good,Loamy,High,None,182,Yes,Yes,60,Good
117,Pumpkin,8.46,126,33,78,86,5.38,-3.8,-8.6,24,22,2915,Severe,11.3,167,Very_Poor,Sandy,High,Vegetable,314,No,No,11,Very_Poor
118,Lettuce,6.24,98,77,13,59,14.7,29.4,14.7,136,40,2685,High,3.5,120,Good,Clay_Loam,High,Fallow,44,No,Yes,74,Good
119,Carrot,5.96,8,83,77,71,13.53,8.8,18.8,127,16,320,Low,5.3,200,Excellent,Clay,Low,Soybean,189,Yes,Yes,99,Excellent
120,Rice,4.94,11,78,43,56,0.81,39.5,35.6,116,1,1529,Moderate,15.2,279,Excellent,Clay,None,Corn,326,Yes,No,34,Poor
121,Oak_Tree,6.77,75,74,54,20,9.18,26.6,33.7,31,9,2504,Moderate,13.4,118,Poor,Silty,High,Soybean,294,Yes,No,50,Fair
122,Lettuce,4.81,23,25,85,63,12.73,20.1,29.8,136,39,2074,Moderate,12.8,192,Poor,Sandy,Low,Wheat,290,Yes,No,16,Very_Poor
123,Cotton,5.49,94,12,9,65,13.62,33.2,6.6,27,13,1155,Severe,12.4,245,Poor,Sandy_Loam,Low,Corn,231,Yes,No,54,Fair
124,Potato,4.05,124,12,81,63,8.21,31.4,41.4,28,1,733,High,16.5,251,Excellent,Silty,None,Corn,161,No,No,45,Fair
125,Sunflower,7.14,95,5,12,76,0.39,15.1,-4.0,129,31,43,Severe,4.6,121,Moderate,Sandy,Moderate,Corn,12,Yes,Yes,61,Good
126,Potato,5.94,53,28,118,76,4.91,0.4,11.6,147,4,853,None,2.7,257,Moderate,Clay_Loam,High,Wheat,365,Yes,Yes,70,Good
127,Oak_Tree,5.76,66,69,94,75,6.05,26.4,22.8,126,7,522,None,16.0,66,Excellent,Sandy_Loam,Moderate,Soybean,121,Yes,Yes,100,Excellent
128,Tomato,4.93,58,84,51,66,12.83,15.9,42.0,15,9,494,High,9.0,173,Excellent,Loamy,Low,Soybean,228,Yes,No,49,Fair
129,Soybean,8.59,141,81,66,68,10.27,-2.8,27.6,62,27,347,Low,16.8,167,Very_Poor,Clay_Loam,High,Fallow,166,Yes,No,54,Fair
130,Pumpkin,5.94,83,76,50,41,8.48,-2.0,-7.2,14,31,2958,Severe,13.2,289,Moderate,Clay,None,Corn,158,No,No,26,Poor
131,Wheat,7.85,52,89,31,29,3.92,43.7,-5.7,109,33,402,High,15.9,30,Poor,Silty,Moderate,Vegetable,253,No,No,27,Poor
132,Tomato,7.18,34,100,38,55,5.83,26.2,27.5,51,22,2665,Low,10.5,228,Very_Poor,Sandy,High,Fallow,69,Yes,No,48,Fair
133,Lettuce,4.08,114,67,89,93,1.88,36.7,2.2,85,15,784,Low,7.0,159,Moderate,Sandy,Moderate,Soybean,57,Yes,Yes,74,Good
134,Tomato,7.48,23,15,45,91,8.34,40.2,12.4,72,16,783,Moderate,8.1,121,Excellent,Silty,High,Soybean,47,No,No,24,Poor
135,Sunflower,8.9,61,64,80,81,7.06,24.4,24.7,91,24,2781,Low,9.1,161,Excellent,Clay,High,None,179,No,Yes,77,Good
136,Cotton,4.2,88,87,67,97,12.25,9.1,19.6,27,8,1738,High,14.7,173,Moderate,Loamy,Low,Soybean,76,No,No,49,Fair
137,Soybean,8.5,8,95,92,69,9.64,26.8,13.3,88,36,2318,High,6.8,281,Poor,Silty,None,Soybean,170,No,No,9,Very_Poor
138,Rice,6.37,86,41,21,76,2.12,27.5,-9.2,49,5,2347,None,15.6,286,Very_Poor,Clay,Low,None,272,Yes,Yes,81,Excellent
139,Wheat,7.66,136,6,109,70,5.77,21.6,32.6,22,13,1968,High,17.7,226,Poor,Clay_Loam,Low,Corn,154,No,No,54,Fair
140,Pine_Tree,7.38,148,1,91,71,12.68,2.8,18.0,146,32,1526,High,8.7,150,Very_Poor,Sandy_Loam,Moderate,Fallow,173,Yes,No,51,Fair
141,Potato,8.37,0,49,38,16,1.21,32.6,18.2,135,10,1374,Low,12.0,151,Excellent,Loamy,None,Corn,201,No,No,49,Fair
142,Lettuce,4.63,115,90,46,76,12.14,43.8,1.9,97,8,1731,Severe,3.2,232,Moderate,Sandy,None,Soybean,253,Yes,No,46,Fair
143,Rice,5.07,148,16,28,1,8.55,28.6,-8.2,51,5,584,Severe,13.2,266,Excellent,Silty,Low,None,240,No,No,47,Fair
144,Apple_Tree,7.89,131,36,43,2,5.61,21.1,41.6,137,38,2726,Low,13.4,263,Good,Silty,High,Soybean,186,Yes,No,19,Very_Poor
145,Strawberry,6.65,44,15,56,72,10.88,29.9,23.2,111,6,1831,High,4.4,199,Moderate,Clay_Loam,High,Fallow,347,Yes,Yes,62,Good
146,Potato,4.59,9,49,91,18,12.55,44.2,31.3,51,17,842,Low,7.1,208,Poor,Loamy,Moderate,Fallow,174,No,No,31,Poor
147,Lettuce,6.12,147,51,52,28,7.62,0.0,4.9,145,44,2124,Low,6.9,24,Very_Poor,Clay_Loam,Moderate,Fallow,260,Yes,No,54,Fair
148,Sunflower,8.84,108,2,81,52,0.33,29.9,31.5,50,17,2480,None,17.8,209,Good,Clay_Loam,Moderate,Soybean,104,Yes,Yes,78,Good
149,Pumpkin,8.32,143,64,79,25,3.82,-1.7,24.3,143,4,2991,Severe,3.6,82,Very_Poor,Silty,None,Vegetable,79,No,No,42,Fair
150,Sunflower,7.91,55,98,85,23,2.81,11.6,37.1,86,40,213,High,11.3,257,Very_Poor,Clay_Loam,Moderate,None,7,Yes,No,30,Poor
151,Corn,7.82,117,89,8,7,9.59,20.6,5.2,24,43,772,High,2.2,269,Good,Sandy_Loam,High,Soybean,283,No,No,2,Very_Poor
152,Pumpkin,5.9,63,53,6,98,9.47,15.9,18.9,89,26,1779,Severe,17.1,219,Good,Silty,Low,Vegetable,336,No,Yes,75,Good
153,Rice,8.44,57,48,103,74,3.92,9.0,2.7,94,3,2413,Low,12.0,131,Moderate,Sandy,Low,Corn,5,Yes,No,50,Fair
154,Oak_Tree,4.01,0,62,27,17,11.74,36.0,35.3,46,3,2965,High,15.0,127,Good,Clay,Low,Corn,365,Yes,No,11,Very_Poor
155,Oak_Tree,5.21,129,25,32,9,7.53,19.6,16.1,33,34,257,Moderate,8.4,223,Moderate,Clay_Loam,Moderate,Vegetable,334,No,No,59,Fair
156,Strawberry,5.52,99,85,13,41,5.76,37.3,43.9,53,39,1737,None,9.1,153,Moderate,Clay_Loam,Moderate,Corn,222,Yes,Yes,64,Good
157,Strawberry,8.62,88,88,86,73,10.29,20.0,23.3,17,42,520,None,12.8,12,Good,Loamy,Moderate,Vegetable,334,Yes,Yes,63,Good
158,Apple_Tree,7.3,54,66,37,11,14.2,2.6,-8.4,51,31,960,Moderate,10.6,76,Poor,Sandy,High,Vegetable,179,Yes,No,15,Very_Poor
159,Carrot,5.64,68,33,90,75,1.73,44.6,-7.2,138,4,2430,None,2.1,7,Poor,Clay_Loam,High,Wheat,9,Yes,Yes,76,Good
160,Oak_Tree,8.95,16,78,104,46,3.42,3.6,3.0,58,4,1638,None,12.3,216,Very_Poor,Loamy,None,Soybean,170,No,No,43,Fair
161,Strawberry,8.52,72,97,17,30,11.14,4.0,26.9,95,20,1311,Low,2.9,184,Very_Poor,Sandy,Low,Soybean,261,No,No,43,Fair
162,Pine_Tree,7.67,3,96,77,60,14.61,1.0,28.1,43,9,879,High,9.2,133,Good,Silty,Moderate,None,30,No,No,38,Poor
163,Apple_Tree,4.7,79,87,7,13,5.69,23.4,38.2,115,25,139,High,11.4,6,Good,Clay,None,Wheat,344,No,No,24,Poor
164,Carrot,4.81,136,11,90,34,12.79,15.4,16.1,69,3,879,Moderate,6.3,19,Poor,Sandy_Loam,None,Vegetable,253,No,Yes,71,Good
165,Lettuce,8.68,53,52,62,7,2.81,31.3,33.0,136,35,2786,High,9.7,13,Moderate,Clay,Moderate,Vegetable,253,Yes,No,9,Very_Poor
166,Lettuce,8.93,40,38,20,80,11.22,21.7,-4.4,84,24,2395,Moderate,14.3,161,Very_Poor,Sandy,High,Corn,130,Yes,No,30,Poor
167,Pumpkin,8.44,93,47,24,97,13.04,45.0,-1.9,16,14,1393,High,12.3,160,Moderate,Clay_Loam,Low,Soybean,132,Yes,No,34,Poor
168,Potato,8.01,102,82,115,23,13.76,2.0,-1.5,52,14,273,Low,5.3,131,Excellent,Clay,High,Corn,20,Yes,No,25,Poor
169,Tomato,8.47,55,51,16,41,4.35,7.1,38.7,90,1,2726,Severe,6.3,78,Very_Poor,Clay_Loam,None,Corn,351,Yes,No,16,Very_Poor
