record_id,region_name,location_name,country,latitude,longitude,elevation_m,month,year,inundated_area_km2,total_floodplain_area_km2,inundation_fraction,flood_duration_days,water_depth_cm,river_stage_m,rainfall_mm,flood_frequency_class,wetland_habitat_type,vegetation_type,seasonal_flooding,permanent_water_present,suitable_for_rice,suitable_for_wetland_crops,suitable_for_trees,flood_adapted_plants_recommended
22,Roraima,Location_0022,Brazil,3.1249,-59.7129,121,Jun,1984,738,5000,0.148,5,37,2.27,64,Occasional,Riparian,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
23,Bananal,Location_0023,Brazil,-9.134,-50.9204,221,Mar,1987,7874,20000,0.394,21,76,8.86,216,Frequent,Floodplain_Forest,Mixed,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
24,Roraima,Location_0024,Brazil,2.8985,-60.4897,105,Aug,1984,716,5000,0.143,7,79,1.13,67,Occasional,Riparian,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
25,Bananal,Location_0025,Brazil,-13.2182,-49.5736,139,Aug,1986,2114,20000,0.106,5,70,0.63,38,Occasional,Savanna,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
26,Bananal,Location_0026,Brazil,-12.4845,-51.6359,237,Oct,1985,1294,20000,0.065,7,1,9.61,67,Rare,Open_Water,Palm_Swamp,No,No,No,No,Yes,Standard_Crops_OK
27,Llanos_de_Mojos,Location_0027,Bolivia,-15.3827,-64.1789,187,Dec,1984,44971,60000,0.75,16,167,0.87,259,Permanent,Riparian,Sedges,No,Yes,No,No,No,Aquatic_Plants_Only
28,Bananal,Location_0028,Brazil,-14.5923,-51.4038,233,Dec,1985,4020,20000,0.201,30,24,1.27,313,Occasional,Swamp,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
29,Roraima,Location_0029,Brazil,2.7393,-61.1836,155,Oct,1982,647,5000,0.129,6,12,1.76,99,Occasional,Riparian,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
30,Pantanal,Location_0030,Brazil,-17.9294,-55.5609,189,Jun,1984,23665,140000,0.169,6,35,7.52,24,Occasional,Swamp,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
31,Llanos_de_Mojos,Location_0031,Bolivia,-14.7386,-66.4616,148,Dec,1985,32040,60000,0.534,28,76,11.19,239,Annual,Riparian,Sedges,Yes,No,Yes,Yes,Marginal,Aquatic_Plants_Only
32,Roraima,Location_0032,Brazil,3.6699,-61.3207,178,Oct,1982,623,5000,0.125,2,46,1.96,56,Occasional,Open_Water,Mixed,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
33,Amazon_Mainstem,Location_0033,Brazil,-3.8398,-57.9681,215,Mar,1979,31640,50000,0.633,18,101,6.6,296,Annual,Open_Water,Mixed,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
34,Roraima,Location_0034,Brazil,2.5984,-61.4282,139,Jul,1981,575,5000,0.115,9,5,6.35,83,Occasional,Floodplain_Forest,Palm_Swamp,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
35,Amazon_Mainstem,Location_0035,Brazil,-3.2164,-66.6668,208,Aug,1982,7858,50000,0.157,2,30,1.96,27,Occasional,Open_Water,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
36,Amazon_Mainstem,Location_0036,Brazil,-3.8558,-58.9978,193,Feb,1980,34693,50000,0.694,24,139,4.08,185,Annual,Riparian,Grassland,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
37,Llanos_Orinoco,Location_0037,Venezuela,4.2875,-69.0167,176,Feb,1987,18754,40000,0.469,17,57,6.81,372,Frequent,Open_Water,Sedges,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
38,Roraima,Location_0038,Brazil,3.1606,-59.9498,201,Aug,1979,643,5000,0.129,9,60,7.61,32,Occasional,Swamp,Mixed,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
39,Pantanal,Location_0039,Brazil,-19.0517,-55.6292,52,Dec,1985,125930,140000,0.899,29,131,10.19,300,Permanent,Savanna,Palm_Swamp,No,Yes,No,No,No,Aquatic_Plants_Only
40,Roraima,Location_0040,Brazil,3.8051,-59.3326,166,Mar,1981,2308,5000,0.462,16,102,10.96,306,Frequent,Floodplain_Forest,Aquatic,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
41,Amazon_Mainstem,Location_0041,Brazil,-3.4982,-54.9134,232,Nov,1986,18438,50000,0.369,22,102,7.7,307,Frequent,Riparian,Palm_Swamp,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
42,Roraima,Location_0042,Brazil,3.7176,-59.597,198,Jul,1982,661,5000,0.132,2,61,2.21,78,Occasional,Riparian,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
43,Bananal,Location_0043,Brazil,-10.905,-51.7508,56,Oct,1980,2988,20000,0.149,6,47,7.8,99,Occasional,Riparian,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
44,Llanos_Orinoco,Location_0044,Venezuela,7.0117,-71.0931,92,Jul,1986,6538,40000,0.163,6,55,2.74,90,Occasional,Swamp,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
45,Pantanal,Location_0045,Brazil,-20.2563,-57.4529,80,Dec,1982,102438,140000,0.732,30,101,6.7,310,Permanent,Floodplain_Forest,Aquatic,No,Yes,No,No,No,Aquatic_Plants_Only
46,Amazon_Mainstem,Location_0046,Brazil,-4.1451,-68.5196,212,Mar,1979,17104,50000,0.342,22,140,7.24,202,Frequent,Riparian,Palm_Swamp,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
47,Llanos_Orinoco,Location_0047,Venezuela,5.1471,-69.683,224,Nov,1983,18537,40000,0.463,18,53,2.38,311,Frequent,Riparian,Forest,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
48,Pantanal,Location_0048,Brazil,-18.6944,-57.4771,151,Jan,1979,113142,140000,0.808,30,245,3.4,161,Permanent,Marsh,Forest,No,Yes,No,No,No,Aquatic_Plants_Only
49,Roraima,Location_0049,Brazil,2.3567,-59.0947,97,Aug,1982,470,5000,0.094,0,76,11.7,40,Rare,Riparian,Sedges,No,No,No,No,Yes,Standard_Crops_OK
50,Bananal,Location_0050,Brazil,-11.8759,-50.1493,200,Aug,1982,2746,20000,0.137,7,57,10.36,94,Occasional,Floodplain_Forest,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
51,Llanos_de_Mojos,Location_0051,Bolivia,-14.737,-65.5826,148,Feb,1984,33480,60000,0.558,24,139,5.43,326,Annual,Marsh,Forest,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
52,Roraima,Location_0052,Brazil,4.3017,-59.3031,165,Jun,1983,740,5000,0.148,0,68,1.11,27,Occasional,Savanna,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
53,Pantanal,Location_0053,Brazil,-16.6432,-56.6045,87,Apr,1985,116325,140000,0.831,30,203,10.73,167,Permanent,Riparian,Sedges,No,Yes,No,No,No,Aquatic_Plants_Only
54,Bananal,Location_0054,Brazil,-11.5646,-51.0431,150,Jan,1985,8562,20000,0.428,24,89,9.12,315,Frequent,Open_Water,Mixed,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
55,Bananal,Location_0055,Brazil,-12.0647,-50.8911,202,Jan,1983,9438,20000,0.472,29,53,6.06,332,Frequent,Swamp,Aquatic,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
56,Amazon_Mainstem,Location_0056,Brazil,-3.289,-62.1455,146,Nov,1987,34936,50000,0.699,28,186,11.68,248,Annual,Swamp,Sedges,Yes,No,Yes,No,No,Aquatic_Plants_Only
57,Roraima,Location_0057,Brazil,3.7618,-59.9406,181,Jun,1986,518,5000,0.104,7,79,4.69,92,Occasional,Savanna,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
58,Llanos_Orinoco,Location_0058,Venezuela,7.2328,-68.1465,159,Feb,1979,21181,40000,0.53,19,86,7.18,374,Annual,Open_Water,Sedges,Yes,No,Yes,Yes,Marginal,Aquatic_Plants_Only
59,Llanos_Orinoco,Location_0059,Venezuela,7.4233,-70.0869,85,Sep,1980,3442,40000,0.086,1,67,6.87,76,Rare,Savanna,Aquatic,No,No,No,No,Yes,Standard_Crops_OK
60,Bananal,Location_0060,Brazil,-11.553,-50.9737,193,Nov,1982,6645,20000,0.332,25,137,1.33,298,Frequent,Riparian,Forest,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
61,Llanos_Orinoco,Location_0061,Venezuela,4.4749,-70.2225,185,Nov,1987,13548,40000,0.339,29,71,7.72,232,Frequent,Swamp,Grassland,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
62,Roraima,Location_0062,Brazil,2.5614,-59.3158,225,Dec,1979,1816,5000,0.363,18,116,2.91,382,Frequent,Savanna,Mixed,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
63,Roraima,Location_0063,Brazil,2.5517,-60.8757,135,Feb,1979,1317,5000,0.263,16,45,5.34,334,Occasional,Floodplain_Forest,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
64,Pantanal,Location_0064,Brazil,-17.1405,-55.721,64,Mar,1987,93530,140000,0.668,27,195,4.04,321,Annual,Swamp,Palm_Swamp,Yes,No,Yes,No,No,Aquatic_Plants_Only
65,Llanos_Orinoco,Location_0065,Venezuela,6.1303,-67.3576,156,Feb,1983,22717,40000,0.568,16,137,7.62,194,Annual,Swamp,Forest,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
66,Bananal,Location_0066,Brazil,-10.9244,-49.5844,63,Mar,1986,5080,20000,0.254,16,38,1.97,333,Occasional,Swamp,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
67,Bananal,Location_0067,Brazil,-11.6045,-51.2751,231,May,1984,6879,20000,0.344,21,100,9.32,274,Frequent,Marsh,Sedges,Yes,No,Yes,Yes,Marginal,Flood_Tolerant_Species
68,Llanos_Orinoco,Location_0068,Venezuela,9.5706,-71.1695,139,Jan,1985,15424,40000,0.386,18,57,2.48,351,Frequent,Riparian,Sedges,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
69,Bananal,Location_0069,Brazil,-10.0819,-50.4273,124,Sep,1985,1833,20000,0.092,2,69,0.62,45,Rare,Riparian,Forest,No,No,No,No,Yes,Standard_Crops_OK
70,Llanos_Orinoco,Location_0070,Venezuela,9.8675,-66.4926,52,Nov,1979,21225,40000,0.531,27,118,9.62,298,Annual,Marsh,Grassland,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
71,Llanos_de_Mojos,Location_0071,Bolivia,-14.5496,-64.6752,171,Sep,1979,7757,60000,0.129,0,57,10.37,27,Occasional,Marsh,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
72,Pantanal,Location_0072,Brazil,-17.4422,-56.7936,96,Jul,1987,37712,140000,0.269,7,16,0.55,100,Occasional,Riparian,Mixed,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
73,Llanos_de_Mojos,Location_0073,Bolivia,-12.3553,-63.3569,102,Apr,1982,49954,60000,0.833,30,222,3.73,192,Permanent,Swamp,Forest,No,Yes,No,No,No,Aquatic_Plants_Only
74,Roraima,Location_0074,Brazil,2.8563,-60.1682,230,Jun,1983,495,5000,0.099,3,21,8.96,83,Rare,Open_Water,Sedges,No,No,No,No,Yes,Standard_Crops_OK
75,Pantanal,Location_0075,Brazil,-20.7977,-57.2308,247,Dec,1980,102899,140000,0.735,23,279,7.82,347,Permanent,Marsh,Palm_Swamp,No,Yes,No,No,No,Aquatic_Plants_Only
76,Bananal,Location_0076,Brazil,-11.7665,-49.8655,198,Jul,1981,1084,20000,0.054,2,54,6.26,48,Rare,Savanna,Sedges,No,No,No,No,Yes,Standard_Crops_OK
77,Bananal,Location_0077,Brazil,-12.6227,-50.1689,96,Sep,1981,1985,20000,0.099,0,48,1.39,73,Rare,Savanna,Forest,No,No,No,No,Yes,Standard_Crops_OK
78,Bananal,Location_0078,Brazil,-13.9229,-50.897,122,Jul,1981,2834,20000,0.142,10,70,8.02,41,Occasional,Floodplain_Forest,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
79,Llanos_de_Mojos,Location_0079,Bolivia,-13.6392,-62.202,75,Oct,1987,7385,60000,0.123,5,5,9.06,63,Occasional,Open_Water,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
80,Roraima,Location_0080,Brazil,2.5532,-61.3871,235,Jun,1980,343,5000,0.069,0,65,1.21,67,Rare,Riparian,Grassland,No,No,No,No,Yes,Standard_Crops_OK
81,Bananal,Location_0081,Brazil,-14.8775,-51.2078,150,Nov,1983,4273,20000,0.214,29,2,8.82,319,Occasional,Savanna,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
82,Amazon_Mainstem,Location_0082,Brazil,-3.2157,-54.4528,65,Dec,1981,34955,50000,0.699,16,267,11.9,214,Annual,Swamp,Mixed,Yes,No,No,No,No,Aquatic_Plants_Only
83,Pantanal,Location_0083,Brazil,-16.4728,-57.0232,216,Jul,1979,16032,140000,0.115,0,35,2.58,42,Occasional,Riparian,Mixed,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
84,Roraima,Location_0084,Brazil,3.0771,-59.2095,122,Sep,1981,251,5000,0.05,10,26,1.03,58,Rare,Swamp,Sedges,No,No,No,No,Yes,Standard_Crops_OK
85,Bananal,Location_0085,Brazil,-13.8004,-51.7171,234,Mar,1985,6441,20000,0.322,15,80,8.81,361,Frequent,Floodplain_Forest,Grassland,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
86,Amazon_Mainstem,Location_0086,Brazil,-3.8866,-64.2572,57,Jan,1983,34387,50000,0.688,15,295,6.18,336,Annual,Riparian,Grassland,Yes,No,No,No,No,Aquatic_Plants_Only
87,Roraima,Location_0087,Brazil,4.305,-59.9096,241,Aug,1981,578,5000,0.116,10,21,9.83,62,Occasional,Swamp,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
88,Bananal,Location_0088,Brazil,-14.1923,-51.6469,114,Aug,1979,1018,20000,0.051,9,37,2.09,91,Rare,Savanna,Aquatic,No,No,No,No,Yes,Standard_Crops_OK
89,Llanos_de_Mojos,Location_0089,Bolivia,-14.2787,-62.3404,249,May,1984,37412,60000,0.624,19,184,11.27,386,Annual,Marsh,Palm_Swamp,Yes,No,Yes,No,No,Aquatic_Plants_Only
90,Llanos_de_Mojos,Location_0090,Bolivia,-14.5936,-63.4348,84,Mar,1986,46524,60000,0.775,25,186,11.1,291,Permanent,Riparian,Mixed,No,Yes,No,No,No,Aquatic_Plants_Only
91,Pantanal,Location_0091,Brazil,-18.3045,-55.6694,61,Sep,1986,40659,140000,0.29,8,74,10.14,55,Occasional,Marsh,Forest,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
92,Pantanal,Location_0092,Brazil,-19.8902,-56.8554,241,Apr,1987,105540,140000,0.754,23,285,10.65,160,Permanent,Floodplain_Forest,Sedges,No,Yes,No,No,No,Aquatic_Plants_Only
93,Pantanal,Location_0093,Brazil,-19.7814,-57.1083,239,Dec,1986,57461,140000,0.41,21,131,6.33,191,Frequent,Savanna,Palm_Swamp,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
94,Amazon_Mainstem,Location_0094,Brazil,-4.0319,-54.2034,151,Mar,1981,30961,50000,0.619,26,256,11.63,268,Annual,Floodplain_Forest,Palm_Swamp,Yes,No,No,No,No,Aquatic_Plants_Only
95,Roraima,Location_0095,Brazil,3.5008,-61.0279,174,Jun,1986,355,5000,0.071,8,29,4.21,21,Rare,Marsh,Palm_Swamp,No,No,No,No,Yes,Standard_Crops_OK
96,Pantanal,Location_0096,Brazil,-17.0236,-55.4605,64,Oct,1986,37593,140000,0.269,3,16,1.07,82,Occasional,Floodplain_Forest,Palm_Swamp,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
97,Llanos_de_Mojos,Location_0097,Bolivia,-15.8985,-61.2055,237,May,1979,53804,60000,0.897,20,229,8.1,188,Permanent,Marsh,Aquatic,No,Yes,No,No,No,Aquatic_Plants_Only
98,Roraima,Location_0098,Brazil,3.2442,-59.0153,122,Jun,1979,623,5000,0.125,0,27,3.8,86,Occasional,Savanna,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
99,Pantanal,Location_0099,Brazil,-16.9747,-55.7174,246,Jan,1980,115204,140000,0.823,15,252,3.93,204,Permanent,Savanna,Mixed,No,Yes,No,No,No,Aquatic_Plants_Only
100,Bananal,Location_0100,Brazil,-13.6124,-50.8401,131,Apr,1983,5602,20000,0.28,24,6,6.19,315,Occasional,Open_Water,Forest,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
101,Llanos_de_Mojos,Location_0101,Bolivia,-13.6366,-64.4973,225,Aug,1982,13448,60000,0.224,2,23,6.14,38,Occasional,Marsh,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
102,Roraima,Location_0102,Brazil,3.037,-59.4119,89,Mar,1980,2086,5000,0.417,19,150,6.24,229,Frequent,Marsh,Aquatic,Yes,No,Yes,Marginal,No,Flood_Tolerant_Species
103,Pantanal,Location_0103,Brazil,-19.7163,-55.3285,128,Apr,1979,117730,140000,0.841,26,273,7.14,237,Permanent,Riparian,Sedges,No,Yes,No,No,No,Aquatic_Plants_Only
104,Pantanal,Location_0104,Brazil,-18.5171,-57.5645,126,Apr,1985,64757,140000,0.463,17,53,9.75,318,Frequent,Savanna,Palm_Swamp,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
105,Llanos_Orinoco,Location_0105,Venezuela,6.7296,-67.2192,178,May,1981,22029,40000,0.551,15,61,8.62,160,Annual,Swamp,Palm_Swamp,Yes,No,Yes,Yes,Marginal,Aquatic_Plants_Only
106,Llanos_Orinoco,Location_0106,Venezuela,5.5324,-66.1235,98,Jul,1982,4074,40000,0.102,5,33,5.68,87,Occasional,Savanna,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
107,Bananal,Location_0107,Brazil,-11.9703,-51.7664,164,Jul,1983,2247,20000,0.112,2,72,9.78,69,Occasional,Riparian,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
108,Pantanal,Location_0108,Brazil,-16.4116,-57.9187,233,Nov,1980,71931,140000,0.514,23,101,0.62,275,Annual,Marsh,Aquatic,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
109,Llanos_de_Mojos,Location_0109,Bolivia,-12.9179,-61.0633,100,Mar,1985,40628,60000,0.677,28,126,2.38,386,Annual,Marsh,Palm_Swamp,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
110,Llanos_Orinoco,Location_0110,Venezuela,9.4546,-67.8123,238,May,1980,24902,40000,0.623,27,274,0.54,252,Annual,Riparian,Palm_Swamp,Yes,No,No,No,No,Aquatic_Plants_Only
111,Llanos_de_Mojos,Location_0111,Bolivia,-14.0424,-63.6271,93,May,1979,34227,60000,0.57,23,146,8.36,272,Annual,Savanna,Palm_Swamp,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
112,Llanos_de_Mojos,Location_0112,Bolivia,-12.9033,-66.7818,201,Oct,1985,11334,60000,0.189,0,2,2.63,32,Occasional,Savanna,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
113,Bananal,Location_0113,Brazil,-9.4694,-50.4274,219,Nov,1986,4740,20000,0.237,21,30,9.48,388,Occasional,Savanna,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
114,Llanos_Orinoco,Location_0114,Venezuela,8.0094,-66.2367,128,Mar,1985,17359,40000,0.434,19,78,6.68,240,Frequent,Open_Water,Mixed,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
115,Llanos_de_Mojos,Location_0115,Bolivia,-14.4669,-64.0573,86,Nov,1983,27712,60000,0.462,24,126,3.99,245,Frequent,Marsh,Mixed,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
116,Llanos_de_Mojos,Location_0116,Bolivia,-14.8373,-64.3572,239,Jul,1983,10959,60000,0.183,1,77,5.1,46,Occasional,Open_Water,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
117,Bananal,Location_0117,Brazil,-14.1477,-51.8242,162,Nov,1984,5175,20000,0.259,21,80,7.54,343,Occasional,Floodplain_Forest,Forest,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
118,Roraima,Location_0118,Brazil,4.145,-61.0198,112,Sep,1983,419,5000,0.084,10,33,10.46,64,Rare,Swamp,Forest,No,No,No,No,Yes,Standard_Crops_OK
119,Llanos_de_Mojos,Location_0119,Bolivia,-14.4344,-65.1572,239,Dec,1979,28707,60000,0.478,30,112,6.09,177,Frequent,Riparian,Sedges,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
120,Llanos_de_Mojos,Location_0120,Bolivia,-14.1074,-65.7596,212,Sep,1979,15058,60000,0.251,8,18,10.99,97,Occasional,Marsh,Mixed,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
121,Bananal,Location_0121,Brazil,-12.518,-51.1412,213,May,1985,6657,20000,0.333,22,82,7.9,310,Frequent,Riparian,Palm_Swamp,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
122,Bananal,Location_0122,Brazil,-9.5375,-50.2074,230,Nov,1980,9157,20000,0.458,27,146,11.11,370,Frequent,Floodplain_Forest,Palm_Swamp,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
123,Llanos_Orinoco,Location_0123,Venezuela,4.518,-69.2719,204,Jan,1980,19052,40000,0.476,28,75,0.82,173,Frequent,Swamp,Palm_Swamp,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
124,Llanos_Orinoco,Location_0124,Venezuela,8.104,-70.7008,211,Sep,1985,3953,40000,0.099,0,74,8.46,86,Rare,Open_Water,Forest,No,No,No,No,Yes,Standard_Crops_OK
125,Roraima,Location_0125,Brazil,3.9976,-59.7884,106,Mar,1979,1510,5000,0.302,21,62,9.29,258,Frequent,Swamp,Grassland,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
126,Llanos_Orinoco,Location_0126,Venezuela,8.5669,-71.7362,136,Nov,1979,25262,40000,0.632,29,168,5.49,211,Annual,Marsh,Forest,Yes,No,Yes,No,No,Aquatic_Plants_Only
127,Llanos_de_Mojos,Location_0127,Bolivia,-13.6686,-62.1662,222,May,1979,28653,60000,0.478,16,107,5.33,305,Frequent,Savanna,Grassland,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
